timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d
2026-06-06T13:42:35,0,0,-1.0,-34,-67,-64,-54
2026-06-06T13:42:38,0,0,-1.0,-34,-67,-64,-54
2026-06-06T13:42:40,0,0,-1.0,-34,-67,-64,-54
2026-06-06T13:42:43,0,0,-1.0,-43,-67,-53,-54
2026-06-06T13:42:45,0,0,-1.0,-43,-67,-53,-54
2026-06-06T13:43:05,1,0,-1.0,-42,-67,-53,-54
2026-06-06T13:43:08,1,0,-1.0,-53,-67,-58,-54
2026-06-06T13:43:10,1,0,-1.0,-42,-67,-56,-54
2026-06-06T13:43:13,1,0,-1.0,-42,-67,-56,-54
2026-06-06T13:43:15,1,0,-1.0,-42,-58,-56,-54
2026-06-06T13:44:15,2,0,-1.0,-42,-59,-54,
2026-06-06T13:44:17,2,0,-1.0,-42,-59,-54,
2026-06-06T13:44:20,2,0,-1.0,-42,-56,-60,
2026-06-06T13:44:22,2,0,-1.0,-42,-56,-60,
2026-06-06T13:44:25,2,0,-1.0,-42,-56,-60,
2026-06-06T13:44:57,3,0,-1.0,-42,-56,-56,-53
2026-06-06T13:45:00,3,0,-1.0,-42,-56,-52,-53
2026-06-06T13:45:02,3,0,-1.0,-42,-56,-52,-51
2026-06-06T13:45:05,3,0,-1.0,-50,-56,-58,-51
2026-06-06T13:45:07,3,0,-1.0,-50,-57,-58,-52
2026-06-06T13:45:20,4,0,-1.0,-42,-57,-49,-46
2026-06-06T13:45:22,4,0,-1.0,-59,-57,-52,-46
2026-06-06T13:45:25,4,0,-1.0,-59,-57,-52,-55
2026-06-06T13:45:27,4,0,-1.0,-59,-57,-54,-72
2026-06-06T13:45:30,4,0,-1.0,-59,-57,-54,-72
2026-06-06T13:45:44,5,0,-1.0,-51,-57,-54,-72
2026-06-06T13:45:47,5,0,-1.0,-59,-57,-59,-72
2026-06-06T13:45:49,5,0,-1.0,-59,-48,-59,-72
2026-06-06T13:45:52,5,0,-1.0,-59,-48,-64,-72
2026-06-06T13:45:54,5,0,-1.0,-51,-48,-48,-72
2026-06-06T13:46:05,6,0,-1.0,-51,-48,-48,-60
2026-06-06T13:46:07,6,0,-1.0,-65,-48,-48,-66
2026-06-06T13:46:10,6,0,-1.0,-65,-48,-48,-66
2026-06-06T13:46:12,6,0,-1.0,-48,-48,-48,-60
2026-06-06T13:46:15,6,0,-1.0,-68,-48,-59,-60
2026-06-06T13:46:28,7,0,-1.0,-60,-48,-69,-60
2026-06-06T13:46:30,7,0,-1.0,-60,-48,-69,-60
2026-06-06T13:46:33,7,0,-1.0,-60,-48,-69,-60
