timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d
2026-06-06T18:30:33,0,0,0,-37,-59,-59,-57
2026-06-06T18:30:35,0,0,0,-37,-59,-59,-57
2026-06-06T18:30:36,0,0,0,-37,-59,-59,-57
2026-06-06T18:30:38,0,0,0,-37,-62,-59,-57
2026-06-06T18:30:39,0,0,0,-37,-62,-59,-57
2026-06-06T18:30:41,0,0,0,-37,-62,-59,-57
2026-06-06T18:30:42,0,0,0,-38,-61,-59,-57
2026-06-06T18:30:44,0,0,0,-38,-61,-59,-57
2026-06-06T18:30:45,0,0,0,-38,-61,-59,-57
2026-06-06T18:30:47,0,0,0,-38,-61,-59,-57
2026-06-06T18:30:53,0.5385,0,0,-38,-62,-59,-57
2026-06-06T18:30:55,0.5385,0,0,-38,-62,-59,-57
2026-06-06T18:30:56,0.5385,0,0,-40,-62,-59,-56
2026-06-06T18:30:58,0.5385,0,0,-40,-62,-59,-56
2026-06-06T18:30:59,0.5385,0,0,-40,-62,-56,-56
2026-06-06T18:31:01,0.5385,0,0,-40,-62,-56,-56
2026-06-06T18:31:02,0.5385,0,0,-40,-62,-56,-56
2026-06-06T18:31:04,0.5385,0,0,-40,-60,-47,-56
2026-06-06T18:31:05,0.5385,0,0,-40,-60,-47,-56
2026-06-06T18:31:07,0.5385,0,0,-40,-60,-47,-56
2026-06-06T18:31:15,1.0769,0,0,-55,-60,-47,-55
2026-06-06T18:31:16,1.0769,0,0,-55,-60,-47,-55
2026-06-06T18:31:18,1.0769,0,0,-55,-60,-47,-55
2026-06-06T18:31:19,1.0769,0,0,-55,-57,-47,-47
2026-06-06T18:31:21,1.0769,0,0,-55,-57,-47,-47
2026-06-06T18:31:22,1.0769,0,0,-55,-51,-51,-47
2026-06-06T18:31:24,1.0769,0,0,-55,-51,-51,-47
2026-06-06T18:31:25,1.0769,0,0,-56,-53,-49,-49
2026-06-06T18:31:27,1.0769,0,0,-56,-53,-49,-49
2026-06-06T18:31:28,1.0769,0,0,-56,-53,-49,-49
2026-06-06T18:31:38,1.6154,0,0,-49,-56,-49,-61
2026-06-06T18:31:39,1.6154,0,0,-49,-56,-49,-61
2026-06-06T18:31:41,1.6154,0,0,-49,-56,-49,-61
2026-06-06T18:31:42,1.6154,0,0,-49,-61,-49,-61
2026-06-06T18:31:44,1.6154,0,0,-49,-61,-49,-61
2026-06-06T18:31:45,1.6154,0,0,-47,-61,-49,-74
2026-06-06T18:31:47,1.6154,0,0,-47,-61,-49,-74
2026-06-06T18:31:48,1.6154,0,0,-47,-61,-49,-74
2026-06-06T18:31:50,1.6154,0,0,-47,-61,-49,-74
2026-06-06T18:31:51,1.6154,0,0,-47,-61,-49,-74
2026-06-06T18:32:02,2.1538,0,0,-54,-61,-58,-45
2026-06-06T18:32:03,2.1538,0,0,-54,-61,-58,-45
2026-06-06T18:32:05,2.1538,0,0,-54,-61,-51,-45
2026-06-06T18:32:06,2.1538,0,0,-54,-61,-51,-45
2026-06-06T18:32:08,2.1538,0,0,-54,-59,-51,-56
2026-06-06T18:32:09,2.1538,0,0,-54,-59,-51,-56
2026-06-06T18:32:11,2.1538,0,0,-54,-59,-51,-56
2026-06-06T18:32:13,2.1538,0,0,-54,-59,-51,-56
2026-06-06T18:32:14,2.1538,0,0,-54,-59,-51,-56
2026-06-06T18:32:16,2.1538,0,0,-54,-59,-51,-56
2026-06-06T18:32:25,2.6923,0,0,-54,-53,-60,-56
2026-06-06T18:32:27,2.6923,0,0,-54,-50,-60,-59
2026-06-06T18:32:28,2.6923,0,0,-54,-50,-60,-59
2026-06-06T18:32:30,2.6923,0,0,-50,-50,-59,-59
2026-06-06T18:32:31,2.6923,0,0,-50,-50,-59,-59
2026-06-06T18:32:33,2.6923,0,0,-50,-54,-56,-48
2026-06-06T18:32:34,2.6923,0,0,-50,-54,-56,-48
2026-06-06T18:32:36,2.6923,0,0,-72,-54,-50,-57
2026-06-06T18:32:37,2.6923,0,0,-72,-54,-50,-57
2026-06-06T18:32:39,2.6923,0,0,-72,-54,-50,-57
2026-06-06T18:32:55,3.2308,0,0,-72,-52,-52,-57
2026-06-06T18:32:57,3.2308,0,0,-66,-52,-56,-46
2026-06-06T18:32:59,3.2308,0,0,-52,-52,-50,-53
2026-06-06T18:33:00,3.2308,0,0,-52,-57,-50,-51
2026-06-06T18:33:02,3.2308,0,0,-52,-53,-59,-45
2026-06-06T18:33:03,3.2308,0,0,-52,-53,-47,-45
2026-06-06T18:33:05,3.2308,0,0,-52,-59,-52,-50
2026-06-06T18:33:06,3.2308,0,0,-52,-52,-48,-50
2026-06-06T18:33:08,3.2308,0,0,-52,-52,-56,-53
2026-06-06T18:33:10,3.2308,0,0,-52,-52,-56,-53
2026-06-06T18:33:16,3.7692,0,0,-62,-52,-57,-53
2026-06-06T18:33:17,3.7692,0,0,-52,-53,-65,-63
2026-06-06T18:33:19,3.7692,0,0,-52,-53,-65,-63
2026-06-06T18:33:20,3.7692,0,0,-57,-53,-52,-63
2026-06-06T18:33:22,3.7692,0,0,-57,-53,-52,-63
2026-06-06T18:33:23,3.7692,0,0,-57,-53,-50,-45
2026-06-06T18:33:25,3.7692,0,0,-57,-53,-50,-45
2026-06-06T18:33:26,3.7692,0,0,-57,-51,-60,-65
2026-06-06T18:33:28,3.7692,0,0,-57,-51,-60,-65
2026-06-06T18:33:30,3.7692,0,0,-57,-59,-50,-65
2026-06-06T18:33:39,4.3077,0,0,-66,-53,-53,-65
2026-06-06T18:33:41,4.3077,0,0,-66,-53,-53,-65
2026-06-06T18:33:42,4.3077,0,0,-61,-53,-50,-63
2026-06-06T18:33:44,4.3077,0,0,-61,-53,-50,-63
2026-06-06T18:33:45,4.3077,0,0,-61,-53,-53,-63
2026-06-06T18:33:47,4.3077,0,0,-57,-53,-52,-47
2026-06-06T18:33:48,4.3077,0,0,-59,-53,-55,-47
2026-06-06T18:33:50,4.3077,0,0,-59,-53,-55,-47
2026-06-06T18:33:51,4.3077,0,0,-57,-53,-48,-44
2026-06-06T18:33:53,4.3077,0,0,-57,-53,-48,-44
2026-06-06T18:33:59,4.8462,0,0,-59,-53,-54,-44
2026-06-06T18:34:00,4.8462,0,0,-59,-53,-54,-44
2026-06-06T18:34:02,4.8462,0,0,-59,-53,-54,-44
2026-06-06T18:34:04,4.8462,0,0,-59,-53,-54,-44
2026-06-06T18:34:05,4.8462,0,0,-59,-53,-60,-44
2026-06-06T18:34:07,4.8462,0,0,-57,-53,-68,-44
