scan_id,loop_seconds,rssi_a,rssi_b,rssi_c,rssi_d,recorded_x,recorded_y,recorded_confidence,recorded_status
1,0.52,-59,,-46,-66,,,,
2,1.58,-51,-56,-37,-53,3.13,3.47,0.95,live
3,0.59,-51,-56,-37,-53,2.96,3.89,0.95,live
4,0.8,-60,-49,-47,-59,3.15,3.61,0.63,constrained
5,0.72,-60,-49,-47,-59,3.33,3.35,0.63,constrained
6,0.74,-60,-49,-47,-59,3.56,3.12,0.63,constrained
7,0.56,-60,-54,-40,-50,3.92,3.85,0.84,live
8,0.72,-60,-54,-40,-50,4.22,3.98,0.84,live
9,0.74,-60,-54,-40,-50,4.22,3.98,0.84,live
10,0.71,-52,-50,-40,-61,4.01,3.79,0.73,smoothed
11,0.69,-52,-50,-40,-61,3.33,3.12,0.73,live
12,0.73,-52,-50,-40,-61,3.39,2.93,0.73,live
13,0.74,-52,-56,-38,-58,3.17,3.15,1.0,smoothed
14,0.73,-52,-56,-38,-58,2.52,3.83,1.0,live
15,0.74,-52,-56,-38,-58,2.52,3.83,1.0,live
16,0.83,-48,-56,-48,-57,2.48,3.49,0.75,constrained
17,0.95,-48,-56,-48,-57,2.44,3.09,0.75,constrained
18,0.98,-48,-51,-34,-61,2.34,3.52,0.56,live
19,0.74,-48,-51,-34,-61,2.1,4.02,0.56,live
20,0.7,-48,-51,-34,-61,2.1,4.02,0.56,live
21,0.71,-48,-50,-34,-61,2.45,3.84,0.52,live
22,0.71,-48,-50,-34,-61,2.45,3.84,0.52,live
23,0.73,-48,-50,-34,-61,2.45,3.84,0.52,live
24,0.7,-48,-50,-34,-61,2.45,3.84,0.52,live
25,0.7,-67,-50,-29,-61,1.98,4.16,0.21,low_confidence
26,0.7,-67,-50,-29,-61,1.56,4.25,0.21,low_confidence
27,0.74,-67,-50,-29,-61,1.46,4.16,0.21,low_confidence
28,0.84,-50,-51,-38,-61,1.68,4.03,0.72,smoothed
29,0.87,-50,-51,-38,-61,2.35,3.64,0.72,live
30,0.87,-58,-51,-38,-56,2.96,4.06,0.77,live
31,0.76,-58,-51,-38,-56,2.96,4.06,0.77,live
32,0.75,-50,-59,-39,-56,2.55,3.75,0.99,live
33,0.77,-50,-59,-39,-56,2.55,3.75,0.99,live
34,0.74,-50,-56,-52,-43,2.84,3.9,0.53,constrained
35,0.77,-50,-56,-52,-43,3.16,3.98,0.53,constrained
36,0.78,-50,-56,-52,-43,3.49,3.99,0.53,constrained
37,0.75,-50,-56,-52,-43,3.79,3.99,0.78,smoothed
38,0.74,-50,-56,-52,-43,4.07,4.0,0.78,smoothed
